Common Name,Status
Sagebrush/Bell's Sparrow (Sage Sparrow),Accidental
Vesper Sparrow,Accidental
LeConte's Sparrow,Accidental
Nelson's Sparrow,Accidental
Ammospiza sp.,Accidental
Savannah Sparrow,Accidental
Grasshopper x Savannah Sparrow (hybrid),Accidental
Baird's Sparrow,Accidental
Grasshopper/Baird's Sparrow,Accidental
Song Sparrow,Rare
Lincoln's Sparrow,Accidental
Swamp Sparrow,Accidental
Lincoln's/Swamp Sparrow,Accidental
Canyon Towhee,Accidental
Abert's Towhee,Rare
Canyon x Abert's Towhee (hybrid),Accidental
Canyon/Abert's Towhee,Accidental
Rufous-crowned Sparrow,Accidental
Green-tailed Towhee,Accidental
Spotted Towhee,Accidental
Spotted/Eastern Towhee (Rufous-sided Towhee),Accidental
towhee sp.,Accidental
new world sparrow sp.,Accidental
Yellow-breasted Chat,Accidental
Yellow-headed Blackbird,Accidental
Bobolink,Accidental
Western Meadowlark,Accidental
Western/Eastern Meadowlark,Accidental
Chihuahuan Meadowlark,Accidental
Western/Chihuahuan Meadowlark,Accidental
Eastern/Chihuahuan Meadowlark,Accidental
Sturnella meadowlark sp.,Accidental
Orchard Oriole,Accidental
Hooded Oriole,Accidental
Orchard x Hooded Oriole (hybrid),Accidental
Orchard/Hooded Oriole,Accidental
Streak-backed Oriole,Accidental
Bullock's Oriole,Accidental
Baltimore Oriole,Accidental
Bullock's x Baltimore Oriole (hybrid),Accidental
Bullock's/Baltimore Oriole,Accidental
Scott's Oriole,Accidental
new world oriole sp.,Accidental
Red-winged Blackbird,Rare
Red-winged/Tricolored Blackbird,Accidental
Bronzed Cowbird,Accidental
Brown-headed Cowbird,Accidental
Shiny/Brown-headed Cowbird,Accidental
Bronzed/Brown-headed Cowbird,Accidental
Rusty Blackbird,Accidental
Brewer's Blackbird,Accidental
Rusty/Brewer's Blackbird,Accidental
Common Grackle,Accidental
Great-tailed Grackle,Rare
grackle sp.,Accidental
blackbird sp.,Accidental
Ovenbird,Accidental
Worm-eating Warbler,Accidental
Louisiana Waterthrush,Accidental
Northern Waterthrush,Accidental
Louisiana/Northern Waterthrush,Accidental
Golden-winged Warbler,Accidental
Blue-winged Warbler,Accidental
Black-and-white Warbler,Accidental
Prothonotary Warbler,Accidental
Crescent-chested Warbler,Accidental
Tennessee Warbler,Accidental
Orange-crowned Warbler,Accidental
Lucy's Warbler,Accidental
Nashville Warbler,Accidental
Virginia's Warbler,Accidental
Leiothlypis sp.,Accidental
MacGillivray's Warbler,Accidental
Mourning Warbler,Accidental
Connecticut/MacGillivray's/Mourning Warbler,Accidental
MacGillivray's/Mourning Warbler,Accidental
Kentucky Warbler,Accidental
Common Yellowthroat,Accidental
Hooded Warbler,Accidental
American Redstart,Accidental
Cape May Warbler,Accidental
Northern Parula,Accidental
Tropical Parula,Accidental
Northern/Tropical Parula,Accidental
Magnolia Warbler,Accidental
Bay-breasted Warbler,Accidental
Blackburnian Warbler,Accidental
Yellow Warbler,Accidental
Chestnut-sided Warbler,Accidental
Blackpoll Warbler,Accidental
Black-throated Blue Warbler,Accidental
Palm Warbler,Accidental
Pine Warbler,Accidental
Yellow-rumped Warbler,Rare
Yellow-throated Warbler,Accidental
Prairie Warbler,Accidental
Grace's Warbler,Accidental
Black-throated Gray Warbler,Accidental
Townsend's Warbler,Accidental
Yellow-rumped x Townsend's Warbler (hybrid),Accidental
Black-throated Gray x Townsend's Warbler (hybrid),Accidental
Black-throated Gray/Townsend's Warbler,Accidental
Hermit Warbler,Accidental
Townsend's x Hermit Warbler (hybrid),Accidental
Black-throated Gray/Hermit Warbler,Accidental
Townsend's/Hermit Warbler,Accidental
Black-throated Green Warbler,Accidental
Setophaga sp.,Accidental
Fan-tailed Warbler,Accidental
Rufous-capped Warbler,Accidental
Canada Warbler,Accidental
Wilson's Warbler,Accidental
Red-faced Warbler,Accidental
Red Warbler,Accidental
Painted Redstart,Accidental
Slate-throated Redstart,Accidental
Painted x Slate-throated Redstart (hybrid),Accidental
Myioborus sp.,Accidental
new world warbler sp.,Accidental
Hepatic Tanager,Accidental
Summer Tanager,Accidental
Hepatic/Summer Tanager,Accidental
Scarlet Tanager,Accidental
Western Tanager,Accidental
Summer x Western Tanager (hybrid),Accidental
Flame-colored Tanager,Accidental
Western x Flame-colored Tanager (hybrid),Accidental
tanager sp. (Piranga sp.),Accidental
Northern Cardinal,Rare
